Empresa,Ticker,Setor,Subsetor
ABC Brasil PN N2,ABCB4,Intermediários Financeiros,Bancos
BRASILAGRO ON NM,AGRO3,Agropecuária,Agricultura
RUMO S.A. ON NM,RAIL3,Transporte,Transporte Ferroviário
ALPARGATAS ON N1,ALPA3,"Tecidos, Vestuário e Calçados",Calçados
ALPARGATAS PN N1,ALPA4,"Tecidos, Vestuário e Calçados",Calçados
ALIANSCSONAE ON,ALSO3,Exploração de Imóveis,Exploração de Imóveis
LOJAS MARISA ON NM,AMAR3,Comércio,"Tecidos, Vestuário e Calçados"
AMBEV S/A ON,ABEV3,Bebidas,Cervejas e Refrigerantes
AREZZO CO ON NM,ARZZ3,Comércio,"Tecidos, Vestuário e Calçados"
BANCO DO BRASIL S.A. ON,BBAS3,Intermediários Financeiros,Bancos
BANCO BRADESCO S.A. ON N1,BBDC3,Intermediários Financeiros,Bancos
BANCO BRADESCO S.A. PN N1,BBDC4,Intermediários Financeiros,Bancos
Minerva ON NM,BEEF3,Alimentos Processados,Carnes e Derivados
BANCO PAN PN,BPAN4,Intermediários Financeiros,Bancos
BRADESPAR S/A ON N1,BRAP3,Mineração,Minerais Metálicos
BRADESPAR S/A PN N1,BRAP4,Mineração,Minerais Metálicos
BRF Foods ON NM,BRFS3,Alimentos Processados,Carnes e Derivados
BRASKEM ON N1,BRKM3,Químicos,Petroquímicos
BRASKEM PNA N1,BRKM5,Químicos,Petroquímicos
BR MALLS PARTICIPAÇÔES S/A ON,BRML3,Exploração de Imóveis,Exploração de Imóveis
BR PROPERTIES ON NM,BRPR3,Exploração de Imóveis,Exploração de Imóveis
BANRISUL S/A PNB,BRSR6,Intermediários Financeiros,Bancos
OI ON N1,OIBR3,Telecomunicações,Telecomunicações
OI ON N1,OIBR4,Telecomunicações,Telecomunicações
B3 ON,B3SA3,Serviços Financeiros Diversos,Serviços Financeiros Diversos
COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM,CCRO3,Transporte,Exploração de Rodovias
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA PN,CEDO4,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CEEE-D ON N1,CEED3,Energia Elétrica,Energia Elétrica
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS PNAS,CGAS5,Gás,Gás
GRAZZIOTIN PN,CGRA4,Comércio,"Tecidos, Vestuário e Calçados"
CIELO ON NM,CIEL3,Serviços Financeiros Diversos,Serviços Financeiros Diversos
CPFL ENERGIA S.A. ON,CPFE3,Energia Elétrica,Energia Elétrica
COPEL ON,CPLE3,Energia Elétrica,Energia Elétrica
CR2 ON,CRDE3,Construção Civil,Incorporações
COSAN SA INDUSTRIA E COMERCIO ON,CSAN3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
